newest_detection,Month,Quarter,DOY,confidence,num_fires,centroid.latitude,centroid.longitude
2020-07-19T12:35:53+00:00,July,Q3,201,1,109,-12.42693427,38.46547745
2020-07-19T09:45:58+00:00,July,Q3,201,1,33,-12.42947381,37.24521796
2020-07-18T12:45:55+00:00,July,Q3,200,0.5,14,-12.41301979,38.32985621
2020-07-18T21:12:58+00:00,July,Q3,200,0.5,18,-11.77931533,38.69601839
2020-07-19T00:42:47+00:00,July,Q3,201,0.5,12,-12.32468458,38.00646
2020-07-19T12:35:53+00:00,July,Q3,201,1,96,-12.76086273,37.0471369
2020-07-18T21:12:58+00:00,July,Q3,200,1,48,-11.69816544,38.382839
2020-07-20T00:22:24+00:00,July,Q3,202,1,80,-11.61147849,38.07620542
2020-07-19T09:53:34+00:00,July,Q3,201,0.75,6,-12.182777,35.9625695
2020-07-19T12:35:53+00:00,July,Q3,201,0.75,32,-12.73177561,36.85526416
2020-07-19T12:35:53+00:00,July,Q3,201,0.5,19,-11.80174979,38.62772158
2020-07-21T09:54:50+00:00,July,Q3,203,1,30,-12.8954305,36.798307
2020-07-19T12:35:53+00:00,July,Q3,201,0.75,39,-11.99137213,36.0429551
2020-07-20T12:10:59+00:00,July,Q3,202,1,31,-11.47414265,38.66107381
2020-07-19T12:35:53+00:00,July,Q3,201,0.5,4,-11.70738525,37.00866025
2020-07-23T01:12:05+00:00,July,Q3,205,1,93,-11.60507855,38.6216434
2020-07-19T12:35:53+00:00,July,Q3,201,0.5,15,-11.81057473,38.54612613
2020-07-19T12:35:53+00:00,July,Q3,201,0.5,15,-11.9767602,37.5772186
2020-07-19T12:35:53+00:00,July,Q3,201,0.5,19,-12.09326995,37.80636637
2020-07-21T21:43:24+00:00,July,Q3,203,1,200,-12.25695812,38.51340794
2020-07-21T11:48:15+00:00,July,Q3,203,0.5,24,-12.42355113,37.85574991
2020-07-19T12:35:53+00:00,July,Q3,201,0.5,18,-12.35530339,38.48321778
2020-07-19T12:35:53+00:00,July,Q3,201,0.5,10,-12.8138553,36.7456832
2020-07-19T21:14:05+00:00,July,Q3,201,1,18,-11.441274,38.772936
2020-07-20T09:29:42+00:00,July,Q3,202,0.5,9,-11.69284144,36.14718456
2020-07-21T09:54:50+00:00,July,Q3,203,0.75,7,-11.54153671,38.75889043
2020-07-21T11:48:15+00:00,July,Q3,203,1,40,-11.91179205,37.5749376
2020-07-21T11:48:15+00:00,July,Q3,203,1,51,-12.2930718,38.41430659
2020-07-23T09:45:52+00:00,July,Q3,205,1,59,-11.79839863,38.73164232
2020-07-21T11:48:15+00:00,July,Q3,203,1,25,-12.33080648,38.5214738
2020-07-21T09:54:50+00:00,July,Q3,203,1,43,-12.426466,37.14222302
2020-07-21T11:48:15+00:00,July,Q3,203,0.5,19,-12.45194484,37.97969316
2020-07-21T21:43:24+00:00,July,Q3,203,0.75,11,-12.23094036,38.59002991
2020-07-23T21:33:57+00:00,July,Q3,205,1,226,-11.73982377,38.51104167
2020-07-21T11:48:15+00:00,July,Q3,203,0.75,20,-11.50873435,38.68195925
2020-07-22T01:22:09+00:00,July,Q3,204,0.75,23,-11.71249422,37.1699523
2020-07-23T01:12:05+00:00,July,Q3,205,0.75,17,-12.41447482,38.02229094
2020-07-22T21:14:25+00:00,July,Q3,204,0.5,8,-11.4698825,38.7896235
2020-07-24T00:47:30+00:00,July,Q3,206,0.75,66,-11.76613888,38.17827256
2020-08-06T15:31:22+00:00,July,Q3,,1,486,-11.93475534,38.19316058
2020-07-24T00:47:30+00:00,July,Q3,206,1,78,-11.64447087,38.56612962
2020-07-23T10:04:20+00:00,July,Q3,205,0.75,30,-11.7421993,38.5973352
